                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0956,                 1.3647,                 1.2022,                0.65828,                0.53205,                0.61516,                0.45672,                 1.0813,                 1.1282,                 1.1243,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2148,                 1.4379,                 1.2672,                0.68869,                0.53841,                0.63215,                0.46754,                 1.0753,                 1.0877,                 1.1208,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1855,                 1.3194,                 1.2365,                0.68865,                0.55416,                0.64287,                0.47683,                 1.0681,                 1.0634,                 1.1178,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.1419,                 1.2954,                 1.2363,                0.70029,                0.58301,                0.66376,                0.49115,                 1.0552,                 1.0382,                 1.1086,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.2145,                 1.3291,                 1.2289,                 0.6877,                0.60816,                0.68493,                0.50633,                 1.0395,                 1.0126,                 1.0948,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1218,                 1.1597,                 1.1959,                0.68026,                0.63634,                0.69974,                0.52352,                 1.0273,                0.99487,                 1.0854,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                  1.121,                 1.1753,                 1.1982,                0.72156,                 0.6439,                0.71497,                0.53573,                 1.0197,                0.97691,                 1.0813,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                   1.08,                 1.1253,                 1.1629,                0.73192,                0.66535,                0.72605,                 0.5447,                 1.0129,                0.94831,                 1.0766,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                  1.079,                 1.0918,                 1.1604,                0.75343,                0.66742,                0.73815,                 0.5502,                 1.0081,                0.92087,                 1.0726,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0761,                 1.1201,                 1.1764,                0.71874,                0.69374,                0.74195,                 0.5541,                 1.0024,                0.89999,                 1.0684,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.1103,                 1.0972,                  1.167,                0.72145,                0.70484,                0.75047,                 0.5663,                0.99086,                0.87032,                 1.0603,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                  1.019,                 1.0339,                  1.138,                0.75712,                0.68128,                0.75845,                0.57242,                0.97596,                0.84653,                 1.0521,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0795,                 1.0338,                 1.1806,                0.79043,                0.67736,                0.76599,                0.58433,                0.96332,                0.83272,                 1.0462,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0806,                 1.0676,                 1.1517,                0.80133,                0.68245,                0.77613,                0.59559,                0.96091,                0.82109,                 1.0429,             0.00010486,             0.00010486,             0.00010486
                     15,                 1.0894,                 1.0488,                 1.1512,                0.80897,                 0.6908,                0.78335,                0.60026,                0.96344,                0.81282,                 1.0419,             0.00010368,             0.00010368,             0.00010368
                     16,                 1.0505,                 1.0147,                 1.1437,                0.79986,                0.71101,                0.79394,                 0.6094,                0.95673,                 0.7958,                  1.038,             0.00010251,             0.00010251,             0.00010251
                     17,                 1.0292,                 1.0409,                 1.1377,                0.79657,                 0.7331,                0.79998,                0.61496,                0.94125,                0.78054,                  1.033,             0.00010133,             0.00010133,             0.00010133
                     18,                 1.0513,                0.98451,                 1.1381,                0.82155,                0.73525,                0.82042,                 0.6318,                0.92786,                0.76185,                 1.0265,             0.00010015,             0.00010015,             0.00010015
                     19,                0.98852,                0.96696,                 1.1351,                0.83188,                 0.7278,                0.82233,                0.63287,                0.92175,                0.74836,                 1.0224,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                0.97572,                0.92352,                 1.1095,                0.82497,                0.73761,                0.82653,                0.64014,                0.91292,                 0.7373,                 1.0159,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                 1.0163,                0.94044,                 1.1253,                0.77292,                0.76852,                0.82748,                0.64369,                0.90881,                0.72485,                 1.0117,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                  1.016,                0.91943,                 1.1277,                 0.8299,                0.75339,                0.82871,                0.64745,                0.90562,                0.71765,                 1.0085,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                0.99865,                0.91828,                 1.0966,                0.85792,                0.74573,                0.83239,                0.64848,                0.89829,                0.71211,                 1.0046,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                0.94961,                0.90566,                 1.0959,                0.84067,                0.74542,                0.83174,                0.64971,                0.89078,                0.70549,                 1.0027,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                0.96866,                0.89191,                 1.0994,                0.80197,                0.77552,                0.83455,                0.64917,                0.88771,                0.70053,                 1.0035,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                0.97308,                0.93429,                 1.1125,                 0.8351,                0.76554,                0.83626,                 0.6528,                0.88271,                 0.6918,                 1.0027,             9.0726e-05,             9.0726e-05,             9.0726e-05
