                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.87365,                 1.6481,                 1.3029,                0.86248,                 0.9369,                0.97028,                0.82851,                 1.0256,                0.71715,                 1.0838,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 0.7269,                 1.0474,                 1.1531,                0.86248,                 0.9369,                0.97028,                0.82851,                 1.0256,                0.71715,                 1.0838,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 0.6959,                0.91378,                 1.1236,                0.86336,                0.93627,                0.97547,                 0.8274,                 1.0377,                0.72392,                  1.092,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.67503,                0.98864,                 1.0964,                0.86336,                0.93627,                0.97547,                 0.8274,                 1.0377,                0.72392,                  1.092,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.93141,                 1.0346,                 1.1861,                0.84738,                0.94304,                0.97546,                0.80902,                   1.06,                0.74281,                 1.1015,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.48193,                0.67762,                 1.0501,                0.84738,                0.94304,                0.97546,                0.80902,                   1.06,                0.74281,                 1.1015,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.61363,                 1.0544,                  1.208,                0.82873,                0.94979,                0.97546,                0.80932,                  1.068,                 0.7664,                 1.1093,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.58757,                0.56197,                0.94866,                0.82873,                0.94979,                0.97546,                0.80932,                  1.068,                 0.7664,                 1.1093,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.79913,                 1.1118,                 1.1941,                0.82502,                   0.95,                0.97181,                0.80789,                 1.0723,                 0.7822,                 1.1173,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.77895,                 1.0936,                 1.1137,                0.82502,                   0.95,                0.97181,                0.80789,                 1.0723,                 0.7822,                 1.1173,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.62532,                0.65286,                 1.1267,                0.80612,                   0.95,                 0.9718,                0.80798,                 1.0848,                0.80596,                 1.1249,             2.9198e-05,             2.9198e-05,             2.9198e-05
