                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.869,                 1.3758,                  1.238,                0.78443,                0.69807,                0.77355,                0.42406,                 1.6104,                 0.8775,                 1.1239,              0.0033268,              0.0033268,              0.0033268
                      2,                 1.6272,                 0.8554,                 1.1065,                0.82361,                0.73618,                0.81524,                0.47256,                 1.4997,                0.81927,                 1.0804,              0.0065942,              0.0065942,              0.0065942
                      3,                 1.6187,                0.83975,                 1.0923,                0.82875,                  0.723,                0.80248,                 0.4752,                 1.4857,                0.80689,                  1.076,              0.0097956,              0.0097956,              0.0097956
                      4,                 1.5798,                 0.8093,                 1.0743,                0.83578,                0.75235,                0.82311,                 0.4896,                 1.4805,                0.74398,                  1.069,               0.009703,               0.009703,               0.009703
                      5,                 1.5404,                0.78095,                 1.0583,                0.85028,                0.76993,                0.84878,                0.51203,                 1.4245,                 0.7241,                 1.0409,               0.009604,               0.009604,               0.009604
                      6,                  1.514,                0.75566,                 1.0447,                0.86055,                0.76699,                0.84685,                0.51373,                 1.4219,                0.71061,                 1.0442,               0.009505,               0.009505,               0.009505
                      7,                 1.4916,                0.73733,                 1.0385,                0.86456,                  0.781,                0.85919,                 0.5237,                 1.4106,                0.68899,                 1.0298,               0.009406,               0.009406,               0.009406
                      8,                 1.4755,                0.72458,                 1.0354,                0.87213,                0.77687,                0.85735,                0.52158,                  1.417,                0.68523,                  1.037,               0.009307,               0.009307,               0.009307
                      9,                 1.4681,                0.71553,                  1.029,                0.86602,                0.78602,                0.85798,                0.53049,                 1.3937,                0.67024,                 1.0284,               0.009208,               0.009208,               0.009208
                     10,                 1.4597,                0.70796,                 1.0256,                0.87573,                0.79103,                0.86661,                0.53533,                 1.3839,                0.65958,                 1.0217,               0.009109,               0.009109,               0.009109
                     11,                 1.4531,                0.70094,                 1.0218,                 0.8709,                0.79096,                0.86366,                0.53124,                 1.3971,                0.66305,                 1.0251,                0.00901,                0.00901,                0.00901
                     12,                 1.4459,                0.69376,                 1.0198,                0.87973,                0.78758,                0.86597,                0.53881,                 1.3763,                0.65017,                 1.0149,               0.008911,               0.008911,               0.008911
                     13,                 1.4349,                0.68716,                 1.0185,                0.87956,                0.80289,                0.87398,                0.54324,                 1.3823,                0.63953,                 1.0197,               0.008812,               0.008812,               0.008812
